Copyright (C) James G. MacKinnon, 1995
conc      4  5  2   25
 -.57885059D+01 -.39071507D+02 -.20555679D+03  .43097423D-02
 -.56354879D+01 -.35902634D+02 -.16868941D+03  .29400518D-02
 -.54290016D+01 -.31544753D+02 -.11866603D+03  .21262474D-02
 -.52627579D+01 -.28283669D+02 -.89946719D+02  .15088148D-02
 -.50857933D+01 -.24924129D+02 -.74081098D+02  .10701356D-02
 -.49777684D+01 -.23071386D+02 -.63331955D+02  .91760847D-03
 -.48995123D+01 -.21654018D+02 -.59376552D+02  .86057909D-03
 -.48360275D+01 -.20747091D+02 -.52229223D+02  .77285276D-03
 -.47841526D+01 -.19942090D+02 -.47044507D+02  .70655500D-03
 -.47389996D+01 -.19270939D+02 -.43434244D+02  .66078408D-03
 -.46994425D+01 -.18671327D+02 -.41020363D+02  .61950540D-03
 -.46642684D+01 -.18183478D+02 -.37424392D+02  .58820442D-03
 -.46318637D+01 -.17806878D+02 -.32997069D+02  .56849907D-03
 -.45053348D+01 -.15987654D+02 -.26826011D+02  .49246271D-03
 -.44110360D+01 -.14828608D+02 -.20057599D+02  .44683881D-03
 -.43357380D+01 -.13845400D+02 -.17676759D+02  .39202717D-03
 -.42721927D+01 -.13110129D+02 -.14079172D+02  .38370330D-03
 -.42171363D+01 -.12439036D+02 -.12749822D+02  .35485454D-03
 -.41683451D+01 -.11876086D+02 -.11367457D+02  .33383424D-03
 -.41244707D+01 -.11371884D+02 -.10312739D+02  .32894886D-03
 -.40843088D+01 -.10917322D+02 -.98766185D+01  .31606395D-03
 -.40472074D+01 -.10533694D+02 -.88677023D+01  .29156314D-03
 -.40128794D+01 -.10159361D+02 -.83122768D+01  .28945046D-03
 -.39807420D+01 -.98478930D+01 -.69338776D+01  .28102283D-03
 -.39505754D+01 -.95282665D+01 -.67422462D+01  .27230467D-03
 -.39219412D+01 -.92564731D+01 -.59243156D+01  .26428430D-03
 -.38948958D+01 -.89845031D+01 -.56620567D+01  .26112476D-03
 -.38691800D+01 -.87231189D+01 -.54948340D+01  .26172966D-03
 -.38444736D+01 -.84981287D+01 -.48019345D+01  .25343436D-03
 -.38209561D+01 -.82763536D+01 -.45136115D+01  .24857462D-03
 -.37983147D+01 -.80711678D+01 -.40165306D+01  .24578654D-03
 -.37764352D+01 -.78842232D+01 -.34513575D+01  .24491536D-03
 -.37553972D+01 -.76889446D+01 -.33682353D+01  .23921778D-03
 -.37349671D+01 -.75087052D+01 -.32138443D+01  .23401717D-03
 -.37152154D+01 -.73363328D+01 -.30142454D+01  .23236287D-03
 -.36961092D+01 -.71684337D+01 -.28705892D+01  .22888460D-03
 -.36774983D+01 -.70134284D+01 -.26073129D+01  .22784321D-03
 -.36593244D+01 -.68749622D+01 -.20999562D+01  .22566505D-03
 -.36416542D+01 -.67348828D+01 -.18206084D+01  .22764052D-03
 -.36244584D+01 -.66002883D+01 -.13660534D+01  .22388576D-03
 -.36076843D+01 -.64681674D+01 -.11532211D+01  .22253246D-03
 -.35912860D+01 -.63440091D+01 -.81614361D+00  .21827529D-03
 -.35752936D+01 -.62075144D+01 -.10023819D+01  .21426358D-03
 -.35596113D+01 -.60887763D+01 -.76354759D+00  .21182131D-03
 -.35442417D+01 -.59724316D+01 -.57916681D+00  .21202140D-03
 -.35291855D+01 -.58570679D+01 -.50807979D+00  .21120945D-03
 -.35143565D+01 -.57509602D+01 -.31903889D+00  .20875622D-03
 -.34998517D+01 -.56472603D+01 -.89761461D-01  .20870275D-03
 -.34855518D+01 -.55433899D+01 -.69719232D-02  .20653826D-03
 -.34715484D+01 -.54413740D+01  .17035005D+00  .20627661D-03
 -.34577960D+01 -.53319751D+01 -.25584977D-01  .20544961D-03
 -.34441987D+01 -.52391752D+01  .22476683D+00  .20488057D-03
 -.34308289D+01 -.51472821D+01  .38275916D+00  .20389997D-03
 -.34176593D+01 -.50548888D+01  .44026508D+00  .20375586D-03
 -.34046492D+01 -.49578461D+01  .33210369D+00  .20424424D-03
 -.33918187D+01 -.48780109D+01  .69069956D+00  .20311650D-03
 -.33791885D+01 -.47893034D+01  .67329759D+00  .19858058D-03
 -.33666325D+01 -.47109979D+01  .81305245D+00  .19579271D-03
 -.33543111D+01 -.46269393D+01  .83800188D+00  .19454414D-03
 -.33420761D+01 -.45562637D+01  .10952086D+01  .19153468D-03
 -.33300241D+01 -.44754134D+01  .10877856D+01  .18940780D-03
 -.33181181D+01 -.44015344D+01  .12471382D+01  .18973507D-03
 -.33063438D+01 -.43293987D+01  .13569551D+01  .18878173D-03
 -.32946970D+01 -.42562361D+01  .14375336D+01  .18906792D-03
 -.32831328D+01 -.41859559D+01  .15624973D+01  .18877477D-03
 -.32717344D+01 -.41139632D+01  .15737727D+01  .18934018D-03
 -.32604507D+01 -.40414907D+01  .15239759D+01  .18994188D-03
 -.32492645D+01 -.39737746D+01  .15909188D+01  .18888827D-03
 -.32381225D+01 -.39073130D+01  .16261584D+01  .18943448D-03
 -.32270623D+01 -.38486217D+01  .18186094D+01  .18917638D-03
 -.32161314D+01 -.37881812D+01  .19604028D+01  .18815947D-03
 -.32053137D+01 -.37199575D+01  .18592892D+01  .18902382D-03
 -.31945576D+01 -.36542596D+01  .17471024D+01  .18859616D-03
 -.31839232D+01 -.35886075D+01  .16696484D+01  .18764120D-03
 -.31732726D+01 -.35369122D+01  .18747647D+01  .18545062D-03
 -.31627632D+01 -.34740133D+01  .18093654D+01  .18444462D-03
