Copyright (c) James G. MacKinnon, 1999
ecmnc     1  1  6   20
-0.44831649E+01-0.17616219E+02-0.60059684E-01 0.33755149E-02
-0.13675458E+01 0.10585916E+01-0.23321555E-02 0.16333332E-03
-0.13546941E+01 0.10680511E+01-0.23724009E-02 0.16460764E-03
-0.13419051E+01 0.10743237E+01-0.23194833E-02 0.16328569E-03
-0.13291308E+01 0.10835316E+01-0.23425013E-02 0.16528717E-03
-0.13164011E+01 0.10912062E+01-0.23309425E-02 0.16565251E-03
-0.13036901E+01 0.11000069E+01-0.23300785E-02 0.16659028E-03
-0.12910164E+01 0.11113790E+01-0.23965767E-02 0.16780059E-03
-0.12783369E+01 0.11173855E+01-0.23447613E-02 0.16894242E-03
-0.12656480E+01 0.11211639E+01-0.22588762E-02 0.16941737E-03
-0.12529337E+01 0.11215363E+01-0.21326144E-02 0.17125055E-03
-0.12402950E+01 0.11310579E+01-0.21768944E-02 0.17367695E-03
-0.12276333E+01 0.11377059E+01-0.21772123E-02 0.17375734E-03
-0.12150036E+01 0.11448343E+01-0.21517752E-02 0.17423349E-03
-0.12023590E+01 0.11503172E+01-0.21270498E-02 0.17333871E-03
-0.11897456E+01 0.11562319E+01-0.20807596E-02 0.17438543E-03
-0.11770806E+01 0.11644300E+01-0.21257619E-02 0.17354145E-03
-0.11643780E+01 0.11682434E+01-0.21078088E-02 0.17267370E-03
-0.11516940E+01 0.11746250E+01-0.21194049E-02 0.17344714E-03
-0.11389917E+01 0.11812735E+01-0.21466349E-02 0.17321189E-03
-0.11262470E+01 0.11851891E+01-0.21244809E-02 0.17355355E-03
-0.11135064E+01 0.11885977E+01-0.20822446E-02 0.17301224E-03
-0.11007155E+01 0.11923268E+01-0.20770190E-02 0.17371158E-03
-0.10879950E+01 0.12021693E+01-0.21560143E-02 0.17419846E-03
-0.10751880E+01 0.12077544E+01-0.21894203E-02 0.17369169E-03
-0.10623932E+01 0.12126606E+01-0.21522250E-02 0.17266797E-03
-0.10495763E+01 0.12191418E+01-0.21824620E-02 0.17445036E-03
-0.10367597E+01 0.12273905E+01-0.22434171E-02 0.17656675E-03
-0.10238720E+01 0.12349031E+01-0.23238502E-02 0.17815643E-03
-0.10109491E+01 0.12430580E+01-0.24135364E-02 0.17957306E-03
-0.99799452E+00 0.12533040E+01-0.24950750E-02 0.17890267E-03
-0.98497759E+00 0.12583785E+01-0.25271508E-02 0.17914886E-03
-0.97194149E+00 0.12627101E+01-0.25220074E-02 0.17980629E-03
-0.95881575E+00 0.12648631E+01-0.24981486E-02 0.17923149E-03
-0.94564214E+00 0.12655804E+01-0.24393468E-02 0.18022455E-03
-0.93242287E+00 0.12674515E+01-0.23915326E-02 0.18134568E-03
-0.91919104E+00 0.12706727E+01-0.23640968E-02 0.18155878E-03
-0.90592113E+00 0.12773734E+01-0.24448686E-02 0.18319498E-03
-0.89257256E+00 0.12795229E+01-0.24172318E-02 0.18447753E-03
-0.87916583E+00 0.12847425E+01-0.24406711E-02 0.18675157E-03
-0.86569112E+00 0.12892536E+01-0.24769510E-02 0.18754371E-03
-0.85214592E+00 0.12946711E+01-0.25376516E-02 0.18861391E-03
-0.83855451E+00 0.13008097E+01-0.25929248E-02 0.18920862E-03
-0.82486534E+00 0.13052491E+01-0.26401988E-02 0.18904161E-03
-0.81109221E+00 0.13082595E+01-0.26493186E-02 0.18882201E-03
-0.79729903E+00 0.13140356E+01-0.26950891E-02 0.18981981E-03
-0.78334015E+00 0.13116056E+01-0.26269049E-02 0.18949080E-03
-0.76932331E+00 0.13102619E+01-0.25545871E-02 0.18880510E-03
-0.75527059E+00 0.13154526E+01-0.26077150E-02 0.18906851E-03
-0.74111697E+00 0.13171298E+01-0.26006607E-02 0.19105497E-03
-0.72686130E+00 0.13168152E+01-0.25632992E-02 0.19214904E-03
-0.71251650E+00 0.13170152E+01-0.25016886E-02 0.19317640E-03
-0.69803810E+00 0.13176882E+01-0.24815337E-02 0.19303670E-03
-0.68345389E+00 0.13173635E+01-0.24535263E-02 0.19385958E-03
-0.66881123E+00 0.13181174E+01-0.24283820E-02 0.19537714E-03
-0.65404895E+00 0.13177569E+01-0.24058527E-02 0.19433729E-03
-0.63912630E+00 0.13155984E+01-0.23346721E-02 0.19453839E-03
-0.62412183E+00 0.13156043E+01-0.23279991E-02 0.19353007E-03
-0.60902940E+00 0.13186012E+01-0.23716177E-02 0.19394955E-03
-0.59379067E+00 0.13199787E+01-0.23654040E-02 0.19441056E-03
-0.57847851E+00 0.13246296E+01-0.24033740E-02 0.19507211E-03
-0.56296990E+00 0.13246784E+01-0.23859131E-02 0.19736865E-03
-0.54736732E+00 0.13266014E+01-0.24086680E-02 0.19696840E-03
-0.53162151E+00 0.13311751E+01-0.24537656E-02 0.19868983E-03
-0.51573408E+00 0.13337577E+01-0.24686924E-02 0.19970755E-03
-0.49962802E+00 0.13297920E+01-0.23817523E-02 0.19919466E-03
-0.48345304E+00 0.13334045E+01-0.24449428E-02 0.20025536E-03
-0.46705623E+00 0.13351208E+01-0.24960501E-02 0.20115899E-03
-0.45047381E+00 0.13301968E+01-0.24075601E-02 0.20199853E-03
-0.43379113E+00 0.13323037E+01-0.24310496E-02 0.20319362E-03
-0.41685726E+00 0.13319190E+01-0.24066013E-02 0.20384234E-03
-0.39973981E+00 0.13312251E+01-0.24028716E-02 0.20346168E-03
-0.38255579E+00 0.13417920E+01-0.25898576E-02 0.20607641E-03
-0.36505742E+00 0.13375254E+01-0.25126955E-02 0.20477522E-03
-0.34734540E+00 0.13377114E+01-0.25649435E-02 0.20594692E-03
-0.32942633E+00 0.13384629E+01-0.26265418E-02 0.20806571E-03
-0.31124038E+00 0.13315125E+01-0.25206129E-02 0.21107837E-03
-0.29282839E+00 0.13270489E+01-0.24603086E-02 0.21044577E-03
-0.27426000E+00 0.13320012E+01-0.25611859E-02 0.21288414E-03
-0.25539054E+00 0.13291954E+01-0.25343851E-02 0.21428545E-03
-0.23625300E+00 0.13251097E+01-0.24835178E-02 0.21473160E-03
-0.21689421E+00 0.13257407E+01-0.25191974E-02 0.21635408E-03
-0.19725620E+00 0.13242374E+01-0.25162475E-02 0.22025576E-03
-0.17731765E+00 0.13204779E+01-0.24544259E-02 0.22089339E-03
-0.15713952E+00 0.13262450E+01-0.25946071E-02 0.22225462E-03
-0.13654289E+00 0.13205805E+01-0.24992430E-02 0.22244237E-03
-0.11563787E+00 0.13129052E+01-0.23508833E-02 0.22268789E-03
-0.94333976E-01 0.13042187E+01-0.21885079E-02 0.22842002E-03
-0.72682862E-01 0.12987430E+01-0.21149823E-02 0.22723379E-03
-0.50748126E-01 0.12992704E+01-0.21078784E-02 0.22707639E-03
-0.28347273E-01 0.12981442E+01-0.20760067E-02 0.23036686E-03
-0.54908291E-02 0.12913762E+01-0.19450130E-02 0.23247928E-03
 0.17716802E-01 0.12933194E+01-0.19612117E-02 0.23271237E-03
 0.41461208E-01 0.12910311E+01-0.19521015E-02 0.23840020E-03
 0.65709814E-01 0.12866529E+01-0.18807658E-02 0.24039852E-03
 0.90500770E-01 0.12902515E+01-0.19109961E-02 0.24385406E-03
