Copyright (C) James G. MacKinnon, 1995
conc     11 12  2   40
 -.75343717D+01 -.83583252D+02 -.45803795D+03  .47899768D-02
 -.73912242D+01 -.77669737D+02 -.38535638D+03  .37502713D-02
 -.71926179D+01 -.70173071D+02 -.30368929D+03  .22889462D-02
 -.70338329D+01 -.64073458D+02 -.26722691D+03  .18148953D-02
 -.68650089D+01 -.58844100D+02 -.19707199D+03  .14004788D-02
 -.67610342D+01 -.55612713D+02 -.17114291D+03  .12000777D-02
 -.66867057D+01 -.53093068D+02 -.15953176D+03  .10225230D-02
 -.66259137D+01 -.51530910D+02 -.13501357D+03  .92366956D-03
 -.65762327D+01 -.49955719D+02 -.12972968D+03  .88935749D-03
 -.65335316D+01 -.48670195D+02 -.12314667D+03  .79774291D-03
 -.64957617D+01 -.47627569D+02 -.11295163D+03  .76269972D-03
 -.64623369D+01 -.46617788D+02 -.10844061D+03  .71780050D-03
 -.64320054D+01 -.45751654D+02 -.10213896D+03  .71219572D-03
 -.63100469D+01 -.42593315D+02 -.76351050D+02  .58812881D-03
 -.62194190D+01 -.40285270D+02 -.62070515D+02  .51842622D-03
 -.61470552D+01 -.38440921D+02 -.52473525D+02  .48446094D-03
 -.60861295D+01 -.36913678D+02 -.45660433D+02  .46436794D-03
 -.60331159D+01 -.35604220D+02 -.41174500D+02  .44940172D-03
 -.59860560D+01 -.34503685D+02 -.35790483D+02  .41615444D-03
 -.59438234D+01 -.33526713D+02 -.30576544D+02  .39739683D-03
 -.59051834D+01 -.32644621D+02 -.26627582D+02  .38573380D-03
 -.58696098D+01 -.31840924D+02 -.23494599D+02  .37048929D-03
 -.58365616D+01 -.31076300D+02 -.21555654D+02  .36515559D-03
 -.58055068D+01 -.30418576D+02 -.18307163D+02  .35827963D-03
 -.57764927D+01 -.29744999D+02 -.17764316D+02  .34268539D-03
 -.57490738D+01 -.29121572D+02 -.17087799D+02  .33882248D-03
 -.57227693D+01 -.28615210D+02 -.13111415D+02  .33672269D-03
 -.56977461D+01 -.28100924D+02 -.11168155D+02  .33751392D-03
 -.56738849D+01 -.27596086D+02 -.10081837D+02  .32908966D-03
 -.56509566D+01 -.27145391D+02 -.82534292D+01  .33100727D-03
 -.56290735D+01 -.26668911D+02 -.83035831D+01  .32193926D-03
 -.56078289D+01 -.26285280D+02 -.55944913D+01  .31853791D-03
 -.55873796D+01 -.25882799D+02 -.41908107D+01  .31010128D-03
 -.55676200D+01 -.25511802D+02 -.22954062D+01  .30409965D-03
 -.55485873D+01 -.25129383D+02 -.13183610D+01  .29973412D-03
 -.55300714D+01 -.24753706D+02 -.87733989D+00  .29516571D-03
 -.55120454D+01 -.24409368D+02  .19196260D+00  .29236258D-03
 -.54944858D+01 -.24081594D+02  .14633802D+01  .29174548D-03
 -.54774425D+01 -.23760521D+02  .28347659D+01  .28979285D-03
 -.54608174D+01 -.23452053D+02  .40105310D+01  .28296447D-03
 -.54444557D+01 -.23181740D+02  .60399473D+01  .28000353D-03
 -.54285527D+01 -.22881241D+02  .67599412D+01  .27529864D-03
 -.54129982D+01 -.22611425D+02  .82315262D+01  .26911296D-03
 -.53976601D+01 -.22362622D+02  .10032981D+02  .27098828D-03
 -.53825982D+01 -.22105335D+02  .11148772D+02  .26627808D-03
 -.53679162D+01 -.21853746D+02  .12156324D+02  .26599424D-03
 -.53535606D+01 -.21597709D+02  .12587672D+02  .26391144D-03
 -.53393706D+01 -.21362388D+02  .13821859D+02  .26267240D-03
 -.53255028D+01 -.21136801D+02  .15142823D+02  .26027768D-03
 -.53118081D+01 -.20910245D+02  .16146454D+02  .26003815D-03
 -.52984704D+01 -.20657007D+02  .15863526D+02  .26117310D-03
 -.52853183D+01 -.20406174D+02  .15409302D+02  .25553298D-03
 -.52723368D+01 -.20179205D+02  .15810704D+02  .25031872D-03
 -.52595034D+01 -.19961068D+02  .16130370D+02  .25145757D-03
 -.52468099D+01 -.19762256D+02  .16936040D+02  .24751974D-03
 -.52343425D+01 -.19548341D+02  .17183318D+02  .24420945D-03
 -.52220210D+01 -.19345412D+02  .17672129D+02  .23968561D-03
 -.52098893D+01 -.19141972D+02  .18027143D+02  .23909397D-03
 -.51979479D+01 -.18926999D+02  .17929830D+02  .23698567D-03
 -.51861779D+01 -.18714295D+02  .17736549D+02  .23774657D-03
 -.51744703D+01 -.18519236D+02  .17909136D+02  .23683714D-03
 -.51628750D+01 -.18331267D+02  .18217423D+02  .23593846D-03
 -.51513520D+01 -.18153465D+02  .18697915D+02  .23265113D-03
 -.51399951D+01 -.17968635D+02  .18857425D+02  .23336863D-03
 -.51287367D+01 -.17783780D+02  .18838845D+02  .23170557D-03
 -.51175727D+01 -.17613244D+02  .19314215D+02  .22925440D-03
 -.51065169D+01 -.17448061D+02  .20009897D+02  .23111181D-03
 -.50955736D+01 -.17280470D+02  .20486291D+02  .22884249D-03
 -.50847546D+01 -.17112082D+02  .20786064D+02  .23072939D-03
 -.50740448D+01 -.16944640D+02  .21062232D+02  .23241467D-03
 -.50634000D+01 -.16788076D+02  .21809840D+02  .22887640D-03
 -.50527447D+01 -.16640976D+02  .22614216D+02  .22956337D-03
 -.50422787D+01 -.16483261D+02  .22991812D+02  .22920385D-03
 -.50318599D+01 -.16326037D+02  .23204250D+02  .22781586D-03
 -.50214973D+01 -.16182845D+02  .23822910D+02  .22663863D-03
 -.50112432D+01 -.16022811D+02  .23604063D+02  .22528576D-03
 -.50010482D+01 -.15865096D+02  .23604619D+02  .22713833D-03
 -.49909261D+01 -.15721769D+02  .24031201D+02  .22857132D-03
 -.49808921D+01 -.15569320D+02  .24014109D+02  .22726324D-03
 -.49709101D+01 -.15424709D+02  .24310215D+02  .22560956D-03
 -.49609511D+01 -.15280753D+02  .24544909D+02  .22788732D-03
 -.49510496D+01 -.15142982D+02  .24996488D+02  .22554647D-03
 -.49411734D+01 -.15013381D+02  .25668381D+02  .22522955D-03
 -.49314302D+01 -.14866753D+02  .25579358D+02  .22346767D-03
 -.49216424D+01 -.14743015D+02  .26316654D+02  .22181038D-03
 -.49119505D+01 -.14608825D+02  .26676760D+02  .21965139D-03
 -.49023056D+01 -.14475983D+02  .27001235D+02  .21782398D-03
 -.48927220D+01 -.14335744D+02  .26995010D+02  .21833913D-03
 -.48832156D+01 -.14192767D+02  .26784559D+02  .21835356D-03
 -.48737334D+01 -.14045625D+02  .26230543D+02  .22124982D-03
 -.48642666D+01 -.13914529D+02  .26374159D+02  .21941933D-03
 -.48548163D+01 -.13789447D+02  .26749996D+02  .21783115D-03
 -.48454049D+01 -.13657044D+02  .26695434D+02  .21925991D-03
 -.48360639D+01 -.13516978D+02  .26258796D+02  .21821845D-03
 -.48267533D+01 -.13378254D+02  .25732390D+02  .21641812D-03
 -.48174426D+01 -.13255067D+02  .25857474D+02  .21472397D-03
 -.48082034D+01 -.13119440D+02  .25609568D+02  .21324232D-03
 -.47989145D+01 -.13000608D+02  .25862937D+02  .21689685D-03
 -.47896391D+01 -.12882325D+02  .26065831D+02  .21726791D-03
 -.47803949D+01 -.12760157D+02  .26015216D+02  .21915038D-03
 -.47712143D+01 -.12637866D+02  .26099984D+02  .21764766D-03
 -.47620478D+01 -.12516019D+02  .26135383D+02  .21913277D-03
 -.47528958D+01 -.12399748D+02  .26343891D+02  .21947301D-03
 -.47437953D+01 -.12279160D+02  .26338736D+02  .21934576D-03
 -.47346378D+01 -.12164460D+02  .26433004D+02  .21707571D-03
 -.47255435D+01 -.12048747D+02  .26623288D+02  .21806122D-03
 -.47164038D+01 -.11938261D+02  .26881528D+02  .21818493D-03
 -.47073373D+01 -.11818550D+02  .26814839D+02  .21795725D-03
 -.46982217D+01 -.11714070D+02  .27241744D+02  .21777212D-03
 -.46891535D+01 -.11596921D+02  .27232934D+02  .21556666D-03
 -.46800882D+01 -.11474826D+02  .26847570D+02  .21451827D-03
 -.46710279D+01 -.11360352D+02  .26699940D+02  .21633349D-03
 -.46619468D+01 -.11243746D+02  .26473933D+02  .21757963D-03
 -.46528694D+01 -.11133123D+02  .26510363D+02  .21882481D-03
 -.46437776D+01 -.11029158D+02  .26878878D+02  .22239859D-03
 -.46346801D+01 -.10919494D+02  .26791149D+02  .22209679D-03
 -.46256319D+01 -.10811177D+02  .26933073D+02  .22200344D-03
 -.46165151D+01 -.10718119D+02  .27587128D+02  .22367500D-03
 -.46074730D+01 -.10603261D+02  .27465761D+02  .22515634D-03
 -.45983397D+01 -.10492742D+02  .27243843D+02  .22469633D-03
 -.45892656D+01 -.10374963D+02  .26844712D+02  .22505603D-03
 -.45801288D+01 -.10281851D+02  .27387027D+02  .22291545D-03
 -.45709946D+01 -.10176093D+02  .27358140D+02  .22098739D-03
 -.45618671D+01 -.10073898D+02  .27554817D+02  .21909623D-03
 -.45526576D+01 -.99743272D+01  .27754965D+02  .21869243D-03
 -.45434484D+01 -.98834742D+01  .28410459D+02  .22231519D-03
 -.45342393D+01 -.97889320D+01  .28883045D+02  .22170696D-03
 -.45250747D+01 -.96787513D+01  .28716145D+02  .22215890D-03
 -.45159076D+01 -.95600328D+01  .28245239D+02  .22456801D-03
 -.45066962D+01 -.94470778D+01  .27887012D+02  .22628651D-03
 -.44974543D+01 -.93416118D+01  .27889743D+02  .22368171D-03
 -.44881495D+01 -.92373522D+01  .27829952D+02  .22504305D-03
 -.44787820D+01 -.91444671D+01  .28244712D+02  .22407313D-03
 -.44693900D+01 -.90531242D+01  .28642644D+02  .22291567D-03
 -.44599711D+01 -.89605048D+01  .28931643D+02  .22201641D-03
 -.44505466D+01 -.88528832D+01  .28596062D+02  .22176880D-03
 -.44410527D+01 -.87530190D+01  .28561168D+02  .22333123D-03
 -.44315577D+01 -.86393912D+01  .27904539D+02  .22113085D-03
 -.44219621D+01 -.85565102D+01  .28627086D+02  .22264654D-03
 -.44123344D+01 -.84663722D+01  .28922925D+02  .22386644D-03
 -.44027057D+01 -.83712006D+01  .29174361D+02  .22175158D-03
 -.43929774D+01 -.82693531D+01  .28910107D+02  .22206419D-03
 -.43832618D+01 -.81692446D+01  .28951573D+02  .22331885D-03
 -.43735219D+01 -.80593771D+01  .28665069D+02  .22392121D-03
 -.43637210D+01 -.79615881D+01  .28656994D+02  .22298291D-03
 -.43538473D+01 -.78580749D+01  .28399382D+02  .22330101D-03
 -.43439049D+01 -.77569136D+01  .28307941D+02  .22218706D-03
 -.43338825D+01 -.76585165D+01  .28312765D+02  .22171811D-03
 -.43238636D+01 -.75538609D+01  .28145107D+02  .22080816D-03
 -.43137631D+01 -.74460208D+01  .27844912D+02  .22037852D-03
 -.43035483D+01 -.73418784D+01  .27579792D+02  .22396500D-03
 -.42932490D+01 -.72489573D+01  .27717566D+02  .22371172D-03
 -.42828528D+01 -.71490385D+01  .27649324D+02  .22728486D-03
 -.42723485D+01 -.70677661D+01  .28303325D+02  .22972307D-03
 -.42618198D+01 -.69812610D+01  .28682405D+02  .22731583D-03
 -.42511877D+01 -.68934190D+01  .29015791D+02  .23136347D-03
 -.42404766D+01 -.67907123D+01  .28719482D+02  .23108734D-03
 -.42296810D+01 -.66810401D+01  .28166971D+02  .23061862D-03
 -.42188012D+01 -.65850294D+01  .28299263D+02  .22757174D-03
 -.42077989D+01 -.64748570D+01  .27712690D+02  .22963603D-03
 -.41967173D+01 -.63763889D+01  .27761472D+02  .23327170D-03
 -.41854693D+01 -.62830546D+01  .27884285D+02  .23217412D-03
 -.41740961D+01 -.61979490D+01  .28485518D+02  .23323123D-03
 -.41626114D+01 -.60981096D+01  .28317176D+02  .23619745D-03
 -.41510076D+01 -.60090992D+01  .28767798D+02  .23277561D-03
 -.41392430D+01 -.59237195D+01  .29346197D+02  .23223349D-03
 -.41273766D+01 -.58207145D+01  .29139409D+02  .22654460D-03
 -.41153392D+01 -.57223535D+01  .29197750D+02  .23141891D-03
 -.41031007D+01 -.56398589D+01  .29866110D+02  .22911124D-03
 -.40907654D+01 -.55447687D+01  .30035745D+02  .22847299D-03
 -.40782482D+01 -.54305655D+01  .29422722D+02  .22728576D-03
 -.40655303D+01 -.53340877D+01  .29692329D+02  .22625091D-03
 -.40526145D+01 -.52398653D+01  .30015252D+02  .22511459D-03
 -.40394867D+01 -.51332813D+01  .29686502D+02  .22888529D-03
 -.40260857D+01 -.50332550D+01  .29615551D+02  .22673321D-03
 -.40125723D+01 -.49298266D+01  .29654179D+02  .23000597D-03
 -.39987788D+01 -.48160394D+01  .29070530D+02  .23570467D-03
 -.39846769D+01 -.47148738D+01  .29078536D+02  .23502082D-03
 -.39703003D+01 -.46115244D+01  .28814954D+02  .23868392D-03
 -.39556919D+01 -.45055045D+01  .28870436D+02  .24158993D-03
 -.39407287D+01 -.44062668D+01  .29184173D+02  .24129981D-03
 -.39254522D+01 -.42946827D+01  .29065823D+02  .24254935D-03
 -.39098235D+01 -.42025587D+01  .29577140D+02  .24097479D-03
 -.38938089D+01 -.41085652D+01  .29889715D+02  .24297151D-03
 -.38773672D+01 -.40102798D+01  .30078455D+02  .24381876D-03
 -.38605456D+01 -.39017537D+01  .29965663D+02  .24330411D-03
 -.38431978D+01 -.37975910D+01  .30119062D+02  .24633613D-03
 -.38254792D+01 -.36614422D+01  .29230692D+02  .25209311D-03
 -.38070665D+01 -.35669066D+01  .29867199D+02  .25504853D-03
 -.37881139D+01 -.34469198D+01  .29702004D+02  .25782176D-03
 -.37684777D+01 -.33345995D+01  .29676645D+02  .26207067D-03
 -.37479536D+01 -.32634244D+01  .31318201D+02  .26406870D-03
 -.37266854D+01 -.31827866D+01  .32889237D+02  .26668464D-03
 -.37046255D+01 -.30740951D+01  .33340797D+02  .27670429D-03
 -.36816210D+01 -.29396019D+01  .32778402D+02  .27214517D-03
 -.36574744D+01 -.28140516D+01  .32618220D+02  .27693678D-03
 -.36320038D+01 -.26923352D+01  .32761556D+02  .28763029D-03
 -.36050428D+01 -.26010398D+01  .34058940D+02  .29290530D-03
 -.35764312D+01 -.24888461D+01  .34649999D+02  .29937449D-03
 -.35458797D+01 -.23492317D+01  .34056435D+02  .30513298D-03
 -.35130550D+01 -.22184900D+01  .34010198D+02  .31519905D-03
 -.34774262D+01 -.21187108D+01  .35265775D+02  .33375815D-03
 -.34383464D+01 -.19917333D+01  .35374541D+02  .34490888D-03
 -.33954819D+01 -.18269350D+01  .34747786D+02  .36439656D-03
 -.33469312D+01 -.17491559D+01  .37442502D+02  .37687259D-03
 -.32909465D+01 -.15899186D+01  .36559108D+02  .40984030D-03
 -.32239527D+01 -.15292390D+01  .39458372D+02  .44538114D-03
 -.31408319D+01 -.13917656D+01  .40561888D+02  .50342164D-03
 -.30285256D+01 -.12240657D+01  .38139539D+02  .59514582D-03
 -.30001809D+01 -.12010127D+01  .38361648D+02  .63970362D-03
 -.29683099D+01 -.12290320D+01  .38823113D+02  .66090166D-03
 -.29329559D+01 -.12376058D+01  .39108707D+02  .70513666D-03
 -.28928510D+01 -.12096584D+01  .36988174D+02  .75176249D-03
 -.28455641D+01 -.12334147D+01  .36889390D+02  .78653894D-03
 -.27884347D+01 -.13021652D+01  .37239390D+02  .87203468D-03
 -.27150083D+01 -.14491069D+01  .37584516D+02  .96870115D-03
 -.26130868D+01 -.19561753D+01  .46988668D+02  .11396299D-02
 -.24418498D+01 -.26462973D+01  .51339135D+02  .15047951D-02
 -.22744275D+01 -.35243459D+01  .59116073D+02  .22568375D-02
 -.20543402D+01 -.48328112D+01  .75864842D+02  .37578452D-02
 -.18842081D+01 -.51752900D+01  .51286705D+02  .52802135D-02
coc      11 13  2   35
 -.77328354D+01 -.91371583D+02 -.43335891D+03  .45952459D-02
 -.75941246D+01 -.84326114D+02 -.39794682D+03  .31822099D-02
 -.73989424D+01 -.75442225D+02 -.34185208D+03  .22313304D-02
 -.72385077D+01 -.70016999D+02 -.26569489D+03  .17262997D-02
 -.70700503D+01 -.63818255D+02 -.22498193D+03  .13451182D-02
 -.69673550D+01 -.60484478D+02 -.19047183D+03  .11864568D-02
 -.68921772D+01 -.58002276D+02 -.17133422D+03  .10820151D-02
 -.68312645D+01 -.56450427D+02 -.14226085D+03  .97984690D-03
 -.67815040D+01 -.54964549D+02 -.12611699D+03  .90462075D-03
 -.67383431D+01 -.53631884D+02 -.11688697D+03  .81575193D-03
 -.67005913D+01 -.52546308D+02 -.10670490D+03  .75980982D-03
 -.66674989D+01 -.51367580D+02 -.10546935D+03  .73960217D-03
 -.66370578D+01 -.50451435D+02 -.10011914D+03  .72771099D-03
 -.65157929D+01 -.46935075D+02 -.78536394D+02  .61573290D-03
 -.64263099D+01 -.44438457D+02 -.62800286D+02  .56561958D-03
 -.63541660D+01 -.42484603D+02 -.52382740D+02  .49863884D-03
 -.62930821D+01 -.40906635D+02 -.43066491D+02  .47047946D-03
 -.62398764D+01 -.39632041D+02 -.33380232D+02  .44611277D-03
 -.61931302D+01 -.38414306D+02 -.28889092D+02  .43998999D-03
 -.61510854D+01 -.37311422D+02 -.25702269D+02  .41767308D-03
 -.61124611D+01 -.36381651D+02 -.20822154D+02  .40577757D-03
 -.60768007D+01 -.35557413D+02 -.16236055D+02  .39049058D-03
 -.60438696D+01 -.34754657D+02 -.13249539D+02  .38165245D-03
 -.60129005D+01 -.34010879D+02 -.11215748D+02  .37484400D-03
 -.59838484D+01 -.33322092D+02 -.91047333D+01  .35848449D-03
 -.59563434D+01 -.32682191D+02 -.73782392D+01  .35155352D-03
 -.59303236D+01 -.32092361D+02 -.50792586D+01  .33889151D-03
 -.59054273D+01 -.31519477D+02 -.37757684D+01  .32732549D-03
 -.58816138D+01 -.30993385D+02 -.16342916D+01  .31565811D-03
 -.58589193D+01 -.30471359D+02 -.68112225D+00  .30692081D-03
 -.58370739D+01 -.29987930D+02  .67911365D+00  .30723680D-03
 -.58160862D+01 -.29515000D+02  .19287298D+01  .29750543D-03
 -.57957701D+01 -.29076447D+02  .30999653D+01  .29260023D-03
 -.57761091D+01 -.28654269D+02  .44243734D+01  .29677414D-03
 -.57570293D+01 -.28250407D+02  .56796633D+01  .28909926D-03
 -.57384804D+01 -.27865642D+02  .69665114D+01  .28317316D-03
 -.57204784D+01 -.27499725D+02  .83049116D+01  .27874017D-03
 -.57029261D+01 -.27154938D+02  .97641878D+01  .27247455D-03
 -.56859508D+01 -.26803716D+02  .10684887D+02  .26915669D-03
 -.56694403D+01 -.26458659D+02  .11583098D+02  .26648629D-03
 -.56531990D+01 -.26131826D+02  .12325902D+02  .26564540D-03
 -.56373097D+01 -.25817083D+02  .13120487D+02  .26441726D-03
 -.56217914D+01 -.25510385D+02  .14011381D+02  .26032074D-03
 -.56065584D+01 -.25224015D+02  .15231004D+02  .25647471D-03
 -.55917177D+01 -.24924482D+02  .15747214D+02  .25535044D-03
 -.55770359D+01 -.24661101D+02  .17096849D+02  .25252347D-03
 -.55627398D+01 -.24378185D+02  .17442245D+02  .25518303D-03
 -.55486651D+01 -.24108853D+02  .18222324D+02  .25086554D-03
 -.55348435D+01 -.23843672D+02  .18878682D+02  .25173719D-03
 -.55212129D+01 -.23597316D+02  .19940812D+02  .25016019D-03
 -.55078159D+01 -.23344025D+02  .20488345D+02  .25310708D-03
 -.54946631D+01 -.23093918D+02  .20983528D+02  .25151025D-03
 -.54816879D+01 -.22856328D+02  .21717534D+02  .25204346D-03
 -.54689012D+01 -.22605574D+02  .21666353D+02  .24880888D-03
 -.54563482D+01 -.22355872D+02  .21403633D+02  .24852643D-03
 -.54438566D+01 -.22147252D+02  .22526941D+02  .24663174D-03
 -.54315992D+01 -.21924481D+02  .23036164D+02  .24223530D-03
 -.54194779D+01 -.21704083D+02  .23364233D+02  .24026208D-03
 -.54075402D+01 -.21473670D+02  .23077685D+02  .23862885D-03
 -.53956440D+01 -.21277552D+02  .24037290D+02  .23618404D-03
 -.53839635D+01 -.21063957D+02  .24243812D+02  .23663771D-03
 -.53723707D+01 -.20853150D+02  .24284332D+02  .23477382D-03
 -.53609174D+01 -.20651521D+02  .24510580D+02  .23416496D-03
 -.53495656D+01 -.20454209D+02  .24796383D+02  .23470899D-03
 -.53383684D+01 -.20256889D+02  .25094481D+02  .23044157D-03
 -.53272678D+01 -.20072576D+02  .25733633D+02  .22868171D-03
 -.53162478D+01 -.19886690D+02  .26108479D+02  .22573205D-03
 -.53053519D+01 -.19704846D+02  .26624885D+02  .22546501D-03
 -.52945289D+01 -.19518662D+02  .26788213D+02  .22316046D-03
 -.52837905D+01 -.19345856D+02  .27466497D+02  .22402629D-03
 -.52731783D+01 -.19159170D+02  .27466998D+02  .22228211D-03
 -.52626426D+01 -.18981728D+02  .27683955D+02  .22123015D-03
 -.52521590D+01 -.18808027D+02  .27866634D+02  .22463657D-03
 -.52417482D+01 -.18633874D+02  .27948310D+02  .22270150D-03
 -.52314245D+01 -.18465167D+02  .28221299D+02  .22401083D-03
 -.52211827D+01 -.18292034D+02  .28213194D+02  .22188043D-03
 -.52110483D+01 -.18120655D+02  .28249044D+02  .22202200D-03
 -.52009646D+01 -.17952746D+02  .28269927D+02  .22323702D-03
 -.51909028D+01 -.17802142D+02  .28867514D+02  .22090763D-03
 -.51808840D+01 -.17648592D+02  .29209279D+02  .21952177D-03
 -.51710100D+01 -.17480550D+02  .29126989D+02  .21881322D-03
 -.51611328D+01 -.17325188D+02  .29391988D+02  .21896199D-03
 -.51513326D+01 -.17170796D+02  .29567373D+02  .21935470D-03
 -.51415831D+01 -.17018874D+02  .29780011D+02  .21642714D-03
 -.51318437D+01 -.16878786D+02  .30381096D+02  .21650998D-03
 -.51221947D+01 -.16721380D+02  .30291640D+02  .21491909D-03
 -.51126162D+01 -.16562264D+02  .30073836D+02  .21414921D-03
 -.51030188D+01 -.16407325D+02  .29857438D+02  .21592114D-03
 -.50934754D+01 -.16261399D+02  .30018711D+02  .21632847D-03
 -.50839643D+01 -.16118269D+02  .30186180D+02  .21445443D-03
 -.50744940D+01 -.15981215D+02  .30575995D+02  .21488439D-03
 -.50651103D+01 -.15831503D+02  .30491523D+02  .21603829D-03
 -.50556791D+01 -.15691307D+02  .30560874D+02  .21540783D-03
 -.50463234D+01 -.15541183D+02  .30233273D+02  .21842794D-03
 -.50369846D+01 -.15404315D+02  .30359480D+02  .21836120D-03
 -.50276932D+01 -.15261959D+02  .30332847D+02  .21704179D-03
 -.50183632D+01 -.15135558D+02  .30801625D+02  .21647783D-03
 -.50091273D+01 -.14994755D+02  .30683161D+02  .21476485D-03
 -.49999103D+01 -.14855613D+02  .30584698D+02  .21493277D-03
 -.49906671D+01 -.14735864D+02  .31095048D+02  .21551433D-03
 -.49814888D+01 -.14604368D+02  .31286932D+02  .21563527D-03
 -.49723246D+01 -.14474942D+02  .31420466D+02  .21682889D-03
 -.49631757D+01 -.14343342D+02  .31400503D+02  .21458465D-03
 -.49540390D+01 -.14209789D+02  .31352044D+02  .21550548D-03
 -.49449126D+01 -.14083245D+02  .31552503D+02  .21415556D-03
 -.49358037D+01 -.13954437D+02  .31613618D+02  .21324567D-03
 -.49266711D+01 -.13829868D+02  .31758796D+02  .21214255D-03
 -.49175730D+01 -.13695051D+02  .31506187D+02  .21005126D-03
 -.49085288D+01 -.13560330D+02  .31249251D+02  .21069726D-03
 -.48994129D+01 -.13433640D+02  .31113226D+02  .21193576D-03
 -.48903328D+01 -.13316833D+02  .31484152D+02  .21049047D-03
 -.48812580D+01 -.13197306D+02  .31740361D+02  .21218224D-03
 -.48721777D+01 -.13075537D+02  .31814897D+02  .21101631D-03
 -.48630740D+01 -.12962431D+02  .32122794D+02  .20984581D-03
 -.48539763D+01 -.12841763D+02  .32102814D+02  .20839857D-03
 -.48448507D+01 -.12726709D+02  .32328465D+02  .20553594D-03
 -.48358340D+01 -.12598181D+02  .32099269D+02  .20698679D-03
 -.48267379D+01 -.12478044D+02  .32161004D+02  .20572988D-03
 -.48176677D+01 -.12358008D+02  .32197167D+02  .20498041D-03
 -.48085518D+01 -.12247656D+02  .32620271D+02  .20383476D-03
 -.47994172D+01 -.12134171D+02  .32696540D+02  .20417401D-03
 -.47902380D+01 -.12021360D+02  .32735292D+02  .20392451D-03
 -.47811178D+01 -.11906389D+02  .32834301D+02  .20487154D-03
 -.47719653D+01 -.11791544D+02  .32976737D+02  .20572658D-03
 -.47628518D+01 -.11662376D+02  .32510373D+02  .20668914D-03
 -.47537167D+01 -.11541028D+02  .32383269D+02  .20940972D-03
 -.47445260D+01 -.11425509D+02  .32356477D+02  .20987339D-03
 -.47352960D+01 -.11309881D+02  .32277798D+02  .21100610D-03
 -.47260919D+01 -.11190906D+02  .32120367D+02  .21250097D-03
 -.47168597D+01 -.11080666D+02  .32384878D+02  .21276411D-03
 -.47076065D+01 -.10965568D+02  .32397750D+02  .21149515D-03
 -.46983264D+01 -.10845515D+02  .32156771D+02  .21234606D-03
 -.46888990D+01 -.10747435D+02  .32571147D+02  .21177176D-03
 -.46794675D+01 -.10642328D+02  .32679632D+02  .21327577D-03
 -.46701222D+01 -.10519086D+02  .32312979D+02  .21413202D-03
 -.46606984D+01 -.10403331D+02  .32227344D+02  .21464929D-03
 -.46512260D+01 -.10292942D+02  .32273906D+02  .21684314D-03
 -.46417252D+01 -.10185903D+02  .32447007D+02  .21963432D-03
 -.46322045D+01 -.10067066D+02  .32151180D+02  .21744138D-03
 -.46226392D+01 -.99545123D+01  .32109855D+02  .21754982D-03
 -.46129702D+01 -.98484534D+01  .32318157D+02  .22050153D-03
 -.46032910D+01 -.97350550D+01  .32199861D+02  .21894058D-03
 -.45935547D+01 -.96256224D+01  .32265952D+02  .21834844D-03
 -.45837782D+01 -.95249412D+01  .32781751D+02  .21732789D-03
 -.45739542D+01 -.94129972D+01  .32648484D+02  .21856645D-03
 -.45640534D+01 -.93048469D+01  .32663522D+02  .21958761D-03
 -.45540869D+01 -.91950664D+01  .32638230D+02  .22182190D-03
 -.45441055D+01 -.90796525D+01  .32454871D+02  .22298851D-03
 -.45340206D+01 -.89722435D+01  .32542824D+02  .22065830D-03
 -.45238788D+01 -.88632997D+01  .32507416D+02  .22046539D-03
 -.45136873D+01 -.87479800D+01  .32279910D+02  .22045893D-03
 -.45034106D+01 -.86426223D+01  .32441342D+02  .22068950D-03
 -.44930852D+01 -.85335646D+01  .32515553D+02  .22396685D-03
 -.44826903D+01 -.84186658D+01  .32359902D+02  .22213241D-03
 -.44721509D+01 -.83132170D+01  .32365256D+02  .22109929D-03
 -.44615113D+01 -.82098042D+01  .32493894D+02  .21899840D-03
 -.44507452D+01 -.81052128D+01  .32556077D+02  .21506627D-03
 -.44399304D+01 -.79912236D+01  .32320298D+02  .21397587D-03
 -.44290279D+01 -.78846930D+01  .32362880D+02  .21401075D-03
