Copyright (C) James G. MacKinnon, 1995
conc      3  4  3   20
 -.54580088D+01 -.32103735D+02 -.16441921D+03 -.17069815D+03  .50497378D-02
 -.53022567D+01 -.29776828D+02 -.10167860D+03 -.69397283D+03  .36013713D-02
 -.50872065D+01 -.25668280D+02 -.97898205D+02 -.11738090D+03  .24600651D-02
 -.49141598D+01 -.23219577D+02 -.62553182D+02 -.27431152D+03  .18317209D-02
 -.47349746D+01 -.20370384D+02 -.45443105D+02 -.25427387D+03  .14099363D-02
 -.46268946D+01 -.18408982D+02 -.52502899D+02 -.48374554D+02  .11650449D-02
 -.45473994D+01 -.17104335D+02 -.56823269D+02  .10605503D+03  .10269516D-02
 -.44829692D+01 -.16532630D+02 -.37583647D+02 -.89741681D+02  .92288046D-03
 -.44306628D+01 -.15739881D+02 -.37089206D+02 -.55841182D+02  .88105185D-03
 -.43846312D+01 -.15296505D+02 -.27113514D+02 -.13750084D+03  .78716786D-03
 -.43447562D+01 -.14760005D+02 -.25023053D+02 -.14380575D+03  .72423841D-03
 -.43091854D+01 -.14225082D+02 -.26678867D+02 -.10307478D+03  .68921900D-03
 -.42767684D+01 -.13771329D+02 -.30172355D+02 -.11794035D+02  .66409358D-03
 -.41479533D+01 -.12304040D+02 -.23649053D+02  .29213905D+01  .57092385D-03
 -.40527055D+01 -.11273913D+02 -.18733414D+02 -.10763345D+02  .48900744D-03
 -.39760499D+01 -.10546880D+02 -.12391850D+02 -.61740670D+02  .46289460D-03
 -.39119310D+01 -.98178689D+01 -.13830434D+02 -.26777082D+02  .43542692D-03
 -.38559671D+01 -.93374415D+01 -.98087208D+01 -.48593874D+02  .40027254D-03
 -.38066560D+01 -.88553117D+01 -.97155504D+01 -.22415977D+02  .37129470D-03
 -.37623294D+01 -.84111099D+01 -.10219720D+02 -.20800031D+01  .35761177D-03
 -.37218002D+01 -.80475066D+01 -.89768044D+01 -.80201953D+01  .35497687D-03
 -.36844235D+01 -.77283403D+01 -.79356371D+01 -.84013162D+01  .34735784D-03
 -.36498199D+01 -.74229117D+01 -.75975526D+01 -.65531070D+01  .33659349D-03
 -.36171044D+01 -.71982257D+01 -.49709159D+01 -.29914436D+02  .33519853D-03
 -.35864111D+01 -.69681469D+01 -.35131722D+01 -.42897342D+02  .32552580D-03
