Copyright (C) James G. MacKinnon, 1995
conc      6  7  3   25
 -.63751631D+01 -.52812913D+02 -.15265281D+03 -.23009777D+04  .54753342D-02
 -.62232720D+01 -.50035651D+02 -.20661991D+02 -.38849330D+04  .41180662D-02
 -.60219664D+01 -.42552513D+02 -.13358402D+03 -.94263146D+03  .27329557D-02
 -.58559390D+01 -.38862513D+02 -.88920400D+02 -.10153884D+04  .20925470D-02
 -.56852880D+01 -.34054986D+02 -.12079769D+03  .31260794D+02  .13820476D-02
 -.55790730D+01 -.32044856D+02 -.90141633D+02 -.13819141D+03  .12156083D-02
 -.55015023D+01 -.30467682D+02 -.84159385D+02  .14806961D+02  .10914839D-02
 -.54400721D+01 -.29291228D+02 -.73299927D+02 -.15941673D+02  .10047156D-02
 -.53887081D+01 -.28327244D+02 -.63459911D+02 -.67368903D+02  .92417845D-03
 -.53447655D+01 -.27459026D+02 -.59682060D+02 -.54526053D+02  .85578897D-03
 -.53062952D+01 -.26598811D+02 -.62287057D+02  .49439679D+02  .80043380D-03
 -.52712482D+01 -.26086475D+02 -.50069288D+02 -.99699365D+02  .77567667D-03
 -.52398568D+01 -.25492175D+02 -.49058920D+02 -.55280472D+02  .75017901D-03
 -.51150870D+01 -.23198631D+02 -.47755864D+02  .16428068D+03  .68027920D-03
 -.50226843D+01 -.21676157D+02 -.38648005D+02  .15110965D+03  .60673255D-03
 -.49487634D+01 -.20465509D+02 -.30632048D+02  .76402530D+02  .54428742D-03
 -.48862001D+01 -.19492633D+02 -.25085028D+02  .44697806D+02  .50049779D-03
 -.48319916D+01 -.18632663D+02 -.23463525D+02  .69063553D+02  .48116758D-03
 -.47840114D+01 -.17937434D+02 -.16980627D+02 -.24440796D+02  .44590285D-03
 -.47407892D+01 -.17313189D+02 -.12574962D+02 -.69101107D+02  .42051998D-03
 -.47012244D+01 -.16755980D+02 -.91350174D+01 -.10387655D+03  .40668687D-03
 -.46647252D+01 -.16257664D+02 -.68989944D+01 -.11618185D+03  .38264207D-03
 -.46307157D+01 -.15838134D+02 -.25269172D+01 -.16069831D+03  .37484653D-03
 -.45992257D+01 -.15344881D+02 -.54474643D+01 -.87647929D+02  .35868683D-03
 -.45693496D+01 -.14983959D+02 -.19501964D+01 -.12784042D+03  .34223559D-03
 -.45410325D+01 -.14655660D+02  .11440535D+01 -.15167840D+03  .33305293D-03
 -.45143114D+01 -.14297853D+02  .12217426D+01 -.13546083D+03  .32492201D-03
 -.44889569D+01 -.13968978D+02  .26907244D+01 -.15292520D+03  .32583069D-03
 -.44647559D+01 -.13630236D+02  .18366933D+01 -.12870069D+03  .31752915D-03
 -.44415793D+01 -.13346394D+02  .36653401D+01 -.15384061D+03  .30941224D-03
 -.44192312D+01 -.13059495D+02  .37102711D+01 -.14495297D+03  .30646441D-03
 -.43976743D+01 -.12784346D+02  .34141867D+01 -.13031461D+03  .31345628D-03
 -.43770095D+01 -.12504387D+02  .21212974D+01 -.98937847D+02  .30911064D-03
 -.43568569D+01 -.12280029D+02  .38412095D+01 -.12006331D+03  .30496375D-03
 -.43373539D+01 -.12075193D+02  .61883762D+01 -.15481969D+03  .30034409D-03
 -.43184175D+01 -.11853659D+02  .66969072D+01 -.15643087D+03  .30178188D-03
 -.42999654D+01 -.11669788D+02  .87447736D+01 -.17976123D+03  .29924122D-03
 -.42821077D+01 -.11470999D+02  .96213288D+01 -.18924862D+03  .29734478D-03
 -.42647008D+01 -.11273252D+02  .10130531D+02 -.19623379D+03  .29383539D-03
 -.42478248D+01 -.11045880D+02  .78561966D+01 -.15128789D+03  .29214898D-03
 -.42313085D+01 -.10841343D+02  .67336053D+01 -.12600245D+03  .28696002D-03
 -.42151335D+01 -.10653638D+02  .62043681D+01 -.11077037D+03  .27990376D-03
