Copyright (C) James G. MacKinnon, 1995
conc      7  8  2   40
 -.66344587D+01 -.58864523D+02 -.26090541D+03  .47812271D-02
 -.64892968D+01 -.53081704D+02 -.26920647D+03  .35318056D-02
 -.62856620D+01 -.47199259D+02 -.22250886D+03  .23328336D-02
 -.61227128D+01 -.42885567D+02 -.18661212D+03  .18200803D-02
 -.59504281D+01 -.39034624D+02 -.13034730D+03  .13004707D-02
 -.58450279D+01 -.36639585D+02 -.10655578D+03  .10756317D-02
 -.57679690D+01 -.34903067D+02 -.93548483D+02  .10048296D-02
 -.57064969D+01 -.33517501D+02 -.86310603D+02  .92358582D-03
 -.56553005D+01 -.32453833D+02 -.78442922D+02  .84298881D-03
 -.56117398D+01 -.31430134D+02 -.76579676D+02  .80108145D-03
 -.55730194D+01 -.30680663D+02 -.70440634D+02  .74947534D-03
 -.55387150D+01 -.29953968D+02 -.66061712D+02  .70666055D-03
 -.55074769D+01 -.29361692D+02 -.60848006D+02  .66267416D-03
 -.53839801D+01 -.26847700D+02 -.50525070D+02  .56789758D-03
 -.52918390D+01 -.25197748D+02 -.38896143D+02  .51694405D-03
 -.52183840D+01 -.23843979D+02 -.33353557D+02  .46468251D-03
 -.51562775D+01 -.22772140D+02 -.27785366D+02  .43501442D-03
 -.51024418D+01 -.21853566D+02 -.23125572D+02  .39743481D-03
 -.50547635D+01 -.21006965D+02 -.22318152D+02  .39242490D-03
 -.50115163D+01 -.20343285D+02 -.18275360D+02  .36625677D-03
 -.49722046D+01 -.19740246D+02 -.14934853D+02  .36092373D-03
 -.49359390D+01 -.19179415D+02 -.12591574D+02  .34311273D-03
 -.49023651D+01 -.18621045D+02 -.12430049D+02  .33559944D-03
 -.48710043D+01 -.18140672D+02 -.10580802D+02  .33148297D-03
 -.48413365D+01 -.17725328D+02 -.79102948D+01  .32417790D-03
 -.48134605D+01 -.17307477D+02 -.63839269D+01  .31228679D-03
 -.47870387D+01 -.16896842D+02 -.60316981D+01  .30042207D-03
 -.47615997D+01 -.16568347D+02 -.34533398D+01  .30001109D-03
 -.47375057D+01 -.16200714D+02 -.34409292D+01  .29767259D-03
 -.47142911D+01 -.15886145D+02 -.22894276D+01  .28899490D-03
 -.46919240D+01 -.15587208D+02 -.11285973D+01  .28170450D-03
 -.46704564D+01 -.15288796D+02 -.48975150D+00  .26888698D-03
 -.46498091D+01 -.15007469D+02  .19395287D+00  .25604806D-03
 -.46296403D+01 -.14747924D+02  .97349694D+00  .25515164D-03
 -.46102253D+01 -.14496817D+02  .17046340D+01  .24630517D-03
 -.45914346D+01 -.14244074D+02  .20186306D+01  .23600658D-03
 -.45731518D+01 -.14003411D+02  .26201494D+01  .23699371D-03
