Copyright (c) James G. MacKinnon, 1999
ecmnc     7  7  7   30
-0.32205685E+01 0.76584410E+01-0.37844294E-01 0.96730504E-03 0.21633979E-03
-0.32064819E+01 0.77340117E+01-0.38389427E-01 0.10000784E-02 0.21816144E-03
-0.31924424E+01 0.77969195E+01-0.38528667E-01 0.99341019E-03 0.21970401E-03
-0.31785267E+01 0.78626433E+01-0.38708910E-01 0.98630358E-03 0.21832455E-03
-0.31646887E+01 0.79316452E+01-0.39012511E-01 0.98822154E-03 0.21854987E-03
-0.31509274E+01 0.79993312E+01-0.39568131E-01 0.10316773E-02 0.21918744E-03
-0.31372685E+01 0.80684976E+01-0.40014162E-01 0.10491049E-02 0.21862925E-03
-0.31237152E+01 0.81380512E+01-0.40535895E-01 0.10799860E-02 0.21953568E-03
-0.31101966E+01 0.82037549E+01-0.40989772E-01 0.11057423E-02 0.22130275E-03
-0.30967693E+01 0.82727394E+01-0.41580154E-01 0.11439601E-02 0.21989354E-03
-0.30834389E+01 0.83355798E+01-0.41919302E-01 0.11531497E-02 0.22010545E-03
-0.30701570E+01 0.83983093E+01-0.42241603E-01 0.11580741E-02 0.22075619E-03
-0.30569667E+01 0.84642995E+01-0.42799131E-01 0.11938419E-02 0.21659559E-03
-0.30437706E+01 0.85243635E+01-0.43250749E-01 0.12252925E-02 0.21704413E-03
-0.30306412E+01 0.85825326E+01-0.43663040E-01 0.12522323E-02 0.21652624E-03
-0.30175961E+01 0.86406140E+01-0.43902056E-01 0.12517174E-02 0.21573837E-03
-0.30045156E+01 0.86894996E+01-0.44043053E-01 0.12536140E-02 0.21658627E-03
-0.29914956E+01 0.87370118E+01-0.44036431E-01 0.12345466E-02 0.21517539E-03
-0.29785379E+01 0.87924000E+01-0.44546386E-01 0.12739471E-02 0.21432355E-03
-0.29656648E+01 0.88466397E+01-0.44927054E-01 0.12956002E-02 0.21478259E-03
-0.29527612E+01 0.88966335E+01-0.45323815E-01 0.13265358E-02 0.21243534E-03
-0.29399109E+01 0.89459281E+01-0.45643858E-01 0.13474632E-02 0.21275548E-03
-0.29271002E+01 0.89979791E+01-0.46035551E-01 0.13698337E-02 0.21373991E-03
-0.29143278E+01 0.90474826E+01-0.46365745E-01 0.13869831E-02 0.21248221E-03
-0.29015526E+01 0.90891733E+01-0.46341593E-01 0.13703593E-02 0.21461703E-03
-0.28888261E+01 0.91332514E+01-0.46442468E-01 0.13658363E-02 0.21389287E-03
-0.28762175E+01 0.91960167E+01-0.47328587E-01 0.14365736E-02 0.21402004E-03
-0.28635580E+01 0.92442005E+01-0.47709840E-01 0.14620059E-02 0.21627272E-03
-0.28509168E+01 0.92975423E+01-0.48313070E-01 0.15072643E-02 0.21781049E-03
